Employee,Department,Role,Login_Hour,Logout_Hour,USB_Inserted,Files_Opened,Files_Deleted,Failed_Logins,Typing_Speed_WPM,Late_Night_Activity,Data_Transfer_MB,Emails_Sent,External_Emails,VPN_Used,Printer_Used,Salary_Access,HR_Access,Finance_Access,System_Commands_Run,Cloud_Upload_MB,Privilege_Escalation,Screen_Captures,DB_Queries_Run,Unique_Remote_IPs
Luca,Legal,Partner,8,17,No,12,0,0,45,No,40,7,3,No,No,No,No,No,10,18,No,1,14,0
Ryan,Sales,VP,8,19,No,21,0,2,63,No,44,11,2,No,No,No,No,No,1,30,No,2,12,0
Victor,IT,Engineer,19,22,Yes,36,4,3,67,No,174,31,13,No,Yes,No,Yes,No,17,150,No,15,69,2
Zara,Finance,Auditor,8,17,No,18,0,2,46,No,20,19,4,No,No,No,No,No,8,0,No,0,4,0
Emma,HR,Specialist,10,17,No,20,1,2,52,No,43,13,4,No,Yes,No,No,No,10,23,No,0,19,0
Sarah,IT,Sysadmin,1,4,Yes,77,8,6,125,Yes,979,48,27,Yes,No,Yes,Yes,No,64,542,Yes,15,140,6
Priya,Engineering,Lead,10,19,No,9,0,0,39,No,31,7,4,No,Yes,No,No,No,4,21,No,3,8,0
Diana,Finance,Manager,21,23,No,32,2,4,89,No,170,27,9,No,No,No,No,Yes,26,125,Yes,15,47,3
Amara,Operations,Analyst,9,18,No,20,0,1,42,No,49,5,3,No,Yes,No,No,No,1,20,No,3,6,0
Grace,Sales,Rep,8,19,No,25,1,2,41,No,18,13,0,No,Yes,No,No,No,8,4,No,2,11,0
Ethan,Sales,Executive,9,17,No,16,1,0,65,No,14,19,4,No,Yes,No,No,No,0,20,No,0,4,0
Noah,Sales,Analyst,9,18,No,18,0,0,42,No,24,17,5,No,Yes,No,No,No,3,2,No,3,15,0
Chloe,Marketing,Content,8,19,No,11,0,1,41,No,47,5,2,No,No,No,No,No,6,30,No,1,4,0
Rachel,Marketing,Designer,8,19,No,17,0,0,49,No,58,10,4,No,Yes,No,No,No,9,10,No,3,2,0
Oscar,Legal,Associate,7,11,No,35,6,4,70,No,247,28,18,Yes,No,Yes,Yes,Yes,40,120,No,9,34,1
Sam,Engineering,DevOps,10,17,No,25,0,1,56,No,45,9,3,No,Yes,No,No,No,0,9,No,2,3,0
David,Engineering,Developer,9,19,No,18,0,1,51,No,20,19,0,No,No,No,No,No,8,24,No,1,18,0
Hugo,Sales,Rep,10,19,No,15,0,2,62,No,29,8,4,No,Yes,No,No,No,5,17,No,3,13,0
John,Sales,Rep,9,19,No,20,1,0,42,No,42,20,0,No,Yes,No,No,No,1,4,No,1,15,0
Leo,IT,Architect,10,17,No,24,1,0,49,No,14,12,2,No,No,No,No,No,2,14,No,2,18,0
Derek,Engineering,QA,9,18,No,20,1,2,61,No,57,12,3,No,Yes,No,No,No,4,13,No,3,2,0
Lily,HR,Generalist,8,18,No,8,0,1,45,No,51,7,5,No,Yes,No,No,No,0,30,No,1,8,0
Clara,Marketing,Director,8,19,No,21,1,2,63,No,30,18,4,No,Yes,No,No,No,6,28,No,1,10,0
Mike,Finance,Analyst,0,3,Yes,107,18,8,119,Yes,1377,58,52,Yes,No,Yes,Yes,Yes,85,1002,Yes,43,208,5
Tom,Sales,Manager,8,18,No,17,0,0,45,No,46,7,0,No,No,No,No,No,1,24,No,1,6,0
Carlos,IT,Support,10,18,No,11,0,0,40,No,31,5,4,No,Yes,No,No,No,9,7,No,0,4,0
Fatima,HR,Coordinator,9,18,No,12,1,1,48,No,58,7,0,No,No,No,No,No,9,18,No,0,4,0
Isabel,Engineering,Developer,9,19,No,24,0,0,54,No,15,10,0,No,Yes,No,No,No,10,27,No,1,14,0
Marcus,Finance,Controller,9,18,No,25,1,0,44,No,28,11,0,No,Yes,No,No,No,5,1,No,0,20,0
James,Operations,Analyst,10,17,No,23,0,1,63,No,36,11,0,No,Yes,No,No,No,10,13,No,2,15,0
Oliver,Marketing,Analyst,10,17,No,18,0,2,58,No,26,20,2,No,Yes,No,No,No,1,20,No,3,10,0
Beth,Operations,Director,9,18,No,14,1,2,43,No,52,7,2,No,No,No,No,No,1,26,No,1,11,0
Ben,Operations,Coordinator,9,17,No,13,1,1,63,No,52,12,2,No,Yes,No,No,No,1,12,No,0,17,0
Ivan,IT,DBA,10,17,No,11,1,0,63,No,39,15,3,No,No,No,No,No,8,14,No,1,17,0
Alex,Marketing,Coordinator,10,19,No,18,0,2,53,No,35,19,1,No,No,No,No,No,2,7,No,2,20,0
Sophie,Marketing,Manager,9,18,No,9,0,0,50,No,56,15,0,No,Yes,No,No,No,3,6,No,3,6,0
Henry,Operations,Manager,8,19,No,15,0,2,40,No,36,15,2,No,Yes,No,No,No,10,22,No,2,9,0
Stefan,Legal,Associate,9,17,No,9,1,1,48,No,23,19,2,No,No,No,No,No,6,8,No,3,10,0
Hana,HR,Recruiter,9,18,No,15,0,2,60,No,10,8,3,No,Yes,No,No,No,2,25,No,3,3,0
Simone,Finance,VP,8,19,No,18,0,1,64,No,41,8,3,No,No,No,No,No,10,28,No,3,6,0
Aisha,HR,Manager,8,17,No,22,1,1,64,No,60,12,1,No,Yes,No,No,No,10,6,No,3,12,0
Felix,IT,Security,9,17,No,16,1,2,54,No,35,15,0,No,Yes,No,No,No,4,5,No,2,3,0
Arjun,Engineering,Architect,10,18,No,13,1,1,55,No,10,14,2,No,Yes,No,No,No,6,25,No,2,16,0
Tara,Marketing,Specialist,9,18,No,15,1,2,53,No,50,12,2,No,No,No,No,No,1,22,No,2,9,0
Laura,Legal,Counsel,8,17,No,21,1,1,44,No,35,6,1,No,No,No,No,No,0,12,No,2,16,0
Yuki,Finance,Accountant,9,19,No,22,1,0,44,No,36,17,4,No,Yes,No,No,No,9,12,No,3,2,0
Nadia,Finance,Analyst,10,17,No,17,1,2,51,No,30,17,5,No,No,No,No,No,8,4,No,1,15,0
Ahmed,IT,Network,8,19,No,12,0,0,53,No,52,8,4,No,Yes,No,No,No,7,22,No,2,13,0
Nina,HR,Director,10,18,No,25,0,1,54,No,48,18,1,No,Yes,No,No,No,4,12,No,2,16,0
Mei,Legal,Paralegal,9,17,No,15,0,1,62,No,45,18,4,No,Yes,No,No,No,3,27,No,1,7,0
